Account,Symbol,Name,Security Type,Quantity,Book Cost,Market Value,Currency
TFSA,SHOP,Shopify Inc,EQUITY,15,1425.00,2010.30,CAD
RRSP,SHOP,Shopify Inc,EQUITY,10,1080.00,1340.20,CAD
TFSA,RY,Royal Bank of Canada,EQUITY,20,2700.00,3348.80,CAD
Personal,ENB,Enbridge Inc,EQUITY,45,2205.00,2612.25,CAD
RRSP,AAPL,Apple Inc,EQUITY,10,1750.00,2318.70,USD
TFSA,MSFT,Microsoft Corp,EQUITY,6,1980.00,3050.16,USD
TFSA,XEQT,iShares Core Equity ETF Portfolio,EXCHANGE_TRADED_FUND,120,2880.00,3480.00,CAD
RRSP,XEQT,iShares Core Equity ETF Portfolio,EXCHANGE_TRADED_FUND,60,1440.00,1740.00,CAD
TFSA,CAD,Canadian Dollar,CURRENCY,1523.44,1523.44,1523.44,CAD
RRSP,USD,US Dollar,CURRENCY,210.55,210.55,210.55,USD
